2596,22057
11719,9652
3546,14539
9059,20493
3488,4086
1488,15319
766,16973
13306,17737
285,9134
7938,9264
8594,17153
16331,18975
729,20271
11273,14020
14220,12762
5844,16072
1532,7503
3084,20128
3906,7896
12593,4963
15309,15871
11037,16658
4461,12939
2044,22100
17603,20736
8483,17030
10894,14125
1548,7948
2460,14181
15970,14502
8167,14223
3305,4529
842,11003
14245,14192
359,3303
15116,16519
4502,8883
1581,1783
5393,12445
5303,4335
8482,19795
15459,15840
11323,15951
8389,15531
6749,11710
8773,5632
2596,11634
10814,12783
7475,11846
6875,16895
6466,15593
4747,12464
14264,21631
1293,15936
2596,16490
3410,21579
6713,21143
8529,13967
1278,1391
17907,21196
2805,18482
13530,18730
1503,4420
2710,13553
6337,13200
16895,19030
10088,21774
8968,15433
3730,14973
7291,17950
5335,5600
5004,20654
3103,8062
2311,9125
5285,6340
377,5011
20909,20433
8516,15531
16809,18161
15602,17523
11003,12936
20710,21786
3558,5099
12939,17984
8811,9731
9163,10379
20135,11966
10497,13056
14633,17495
20442,22407
11193,13828
18949,7161
61,16797
4225,11021
3797,9133
2732,20937
487,7921
4635,8960
10018,12457
3711,12056
16223,19743
487,8129
12783,16001
5299,20046
21013,21729
6421,18779
14917,14969
833,5420
9359,20716
17065,20488
16361,20720
2841,12666
11235,19458
942,17687
2166,5548
14751,18866
4347,4410
1184,15742
17780,18512
8888,12239
5458,6069
4518,5458
32,9839
5394,15839
5855,19743
528,3070
6916,11553
8360,12461
15122,15631
10426,19347
1970,21981
12589,16191
8482,11634
4204,21981
6393,6725
365,13695
9677,20810
4325,8417
8898,10238
2311,20276
12055,16809
5557,16804
14497,17163
8038,17357
3070,3951
2311,21729
11062,14898
7458,22403
781,6248
14109,20024
6218,9434
15387,16625
4233,4995
5458,20047
12670,16270
496,13906
129,16895
6173,7502
11548,22438
16052,16742
4987,10988
15606,16990
12573,14713
4741,6746
10104,20700
12036,17860
142,10166
959,19731
3526,10797
9279,11808
2112,8127
1193,17048
3524,21214
3809,16186
18062,18512
375,8540
3434,12018
3331,13369
17328,17987
6984,14637
13886,14919
462,9126
3828,4159
2078,15963
3805,15076
5448,7888
1292,8249
1148,1886
1368,12646
9421,14733
479,16368
9337,1418
8499,16895
14768,18153
8153,10075
3322,15007
8125,17172
2837,3515
9028,20938
2759,14192
9059,10785
12249,22208
7269,11427
